:START_ID,:END_ID,:TYPE
m0000004,p0000002,Possess 
m0000008,p0000001,Possess 
m0000008,p0000005,Possess 
m0000010,p0000002,Possess 
m0000010,p0000001,Possess 
m0000017,p0000009,Possess 
m0000018,p0000002,Possess 
m0000019,p0000013,Possess 
m0000020,p0000009,Possess 
m0000059,p0000001,Possess 
m0000061,p0000008,Possess 
m0000061,p0000001,Possess 
m0000073,p0000005,Possess 
m0000073,p0000016,Possess 
m21,p0000001,Possess 
m21,p0000002,Possess 
m21,p0000005,Possess 
m21,p0000008,Possess 
m21,p0000009,Possess 
m21,p0000013,Possess 
m21,p0000001,Possess 
