:START_ID,:END_ID,:type
m0000004,v0000004,Value
m0000008,v0000008,Value
m0000008,v0000009,Value
m0000010,v0000011,Value
m0000010,v0000012,Value
m0000017,v0000037,Value
m0000018,v0000038,Value
m0000019,v0000039,Value
m0000020,v0000040,Value
m0000059,v0000109,Value
m0000061,v0000077,Value
m0000061,v0000110,Value
m0000073,v0000126,Value
m0000073,v0000127,Value
m21,v0000041,Value
m21,v0000042,Value
m21,v0000043,Value
m21,v0000044,Value
m21,v0000045,Value
m21,v0000046,Value
m21,v0000047,Value
m21,v0000048,Value
m21,v0000049,Value
m21,v0000050,Value
